"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"UF",140000,2157,0,110,474,1683,117,291,415,221,639,1353,804,152,0,125,103,22,85,19,2,0,55,38,7,2,1,0,1,3,4,4,0,0,4,0,0,0
2016,"MUNICIPIO",140002,58,0,1,19,39,3,4,7,7,18,37,21,6,0,6,4,2,7,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140005,110,0,4,37,73,6,9,11,16,31,68,42,16,0,11,10,1,15,0,0,0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140010,1398,0,65,270,1128,68,217,293,126,424,871,527,87,0,64,51,13,32,11,1,0,40,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",140015,44,0,2,8,36,4,5,9,5,13,32,12,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140017,62,0,2,21,41,6,8,12,4,11,51,11,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140020,106,0,5,35,71,6,8,13,14,30,65,41,7,0,15,14,1,4,2,0,0,1,12,2,1,0,0,0,1,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",140023,26,0,5,7,19,0,1,5,4,9,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140028,29,0,5,12,17,1,3,6,2,5,19,10,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140030,65,0,5,13,52,6,11,16,5,14,34,31,6,0,4,4,0,2,0,0,0,1,3,1,0,1,0,0,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",140040,43,0,1,10,33,2,3,8,4,16,23,20,4,0,3,3,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140045,36,0,1,1,35,5,3,5,5,17,19,17,2,0,3,3,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140047,100,0,7,24,76,5,11,17,16,27,65,35,6,0,11,9,2,7,2,0,0,9,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2016,"MUNICIPIO",140050,24,0,0,4,20,2,3,4,2,9,19,5,1,0,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140060,17,0,1,4,13,1,3,3,1,5,11,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO",140070,38,0,6,9,29,2,2,5,10,10,21,17,5,0,3,2,1,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
